Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S004869    ,Sant Andreu,Sant Andreu,Dalt (Llobregat),Friday,2023,8,August,11,20,Afternoon,Gir indegut o sense precaució,432922.68,4588961.94,2.195844856,41.447588345,2023-08-11 20:00:00
2023S003485    ,Sant Andreu,Sant Andreu,Dalt (Llobregat),Saturday,2023,6,June,10,21,Afternoon,No determinada,432922.68,4588961.94,2.195844856,41.447588345,2023-06-10 21:00:00
2023S002662    ,Sant Andreu,el Bon Pastor,Potosí,Friday,2023,5,May,5,13,Morning,Manca precaució incorporació circulació,433328.95,4588427.0,2.200767227,41.442804179,2023-05-05 13:00:00
2023S001370    ,Sant Andreu,la Trinitat Vella,Santa Coloma,Dimecres,2023,3,March,8,19,Afternoon,Gir indegut o sense precaució,432968.51,4589200.56,2.196366967,41.449741345,2023-03-08 19:00:00
2023S003862    ,Sant Andreu,Sant Andreu,Dalt (Llobregat),Dimarts,2023,6,June,27,16,Afternoon,Lack of driving attention,432719.94,4588904.37,2.193424358,41.447052854,2023-06-27 16:00:00
2023S004778    ,Sant Andreu,Sant Andreu,Meridiana,Dilluns,2023,8,August,7,15,Afternoon,Lack of driving attention,432178.01,4588486.42,2.186984161,41.443242895,2023-08-07 15:00:00
2023S000889    ,Sant Andreu,Sant Andreu,Gran de Sant Andreu,Dilluns,2023,2,February,13,19,Afternoon,Lack of driving attention,432282.84,4588476.84,2.188240026,41.443165466,2023-02-13 19:00:00
2023S003020    ,Sant Andreu,Sant Andreu,Estació,Dilluns,2023,5,May,22,10,Morning,Lack of driving attention,432630.36,4587671.73,2.192489578,41.435943362,2023-05-22 10:00:00
2023S001474    ,Sant Andreu,Sant Andreu,Ribes,Dimarts,2023,3,March,14,8,Morning,Not respecting pedestrian crossing,432400.82,4588896.1,2.189605269,41.446951543,2023-03-14 08:00:00
2023S005038    ,Sant Andreu,Sant Andreu,Meridiana,Dimecres,2023,8,August,23,17,Afternoon,Avançament defectuós/improcedent,432119.65,4588374.5,2.18629819,41.442229936,2023-08-23 17:00:00
2023S005163    ,Sant Andreu,Sant Andreu,Sant Adrià,Dimecres,2023,8,August,30,18,Afternoon,Not respecting distances,432685.85,4587536.11,2.193168821,41.434726532,2023-08-30 18:00:00
2023S004587    ,Sant Andreu,Navas,Josep Estivill,Thursday,2023,7,July,27,18,Afternoon,Lack of driving attention,432170.87,4585607.25,2.187221954,41.417310557,2023-07-27 18:00:00
2023S004833    ,Sant Andreu,Navas,Meridiana,Thursday,2023,8,August,10,5,Night,Lack of driving attention,432141.83,4585411.87,2.18689642,41.415548376,2023-08-10 05:00:00
2023S006598    ,Sant Andreu,Sant Andreu,Meridiana,Dimarts,2023,11,November,7,17,Afternoon,Lack of driving attention,432163.17,4588427.75,2.186813122,41.442713221,2023-11-07 17:00:00
2023S003803    ,Sant Andreu,el Congrés i els Indians,Maragall,Saturday,2023,6,June,24,23,Night,Lack of driving attention,431599.38,4586028.74,2.180336393,41.421058309,2023-06-24 23:00:00
2023S007382    ,Sant Andreu,la Sagrera,Meridiana,Dimecres,2023,12,December,13,9,Morning,Canvi de carril sense precaució,432125.47,4586281.49,2.186603031,41.423379389,2023-12-13 09:00:00
2023S007155    ,Sant Andreu,Navas,Felip II,Friday,2023,12,December,1,8,Morning,Gir indegut o sense precaució,432147.88,4585942.07,2.186909296,41.420324234,2023-12-01 08:00:00
2023S002977    ,Sant Andreu,la Sagrera,Berenguer de Palou,Thursday,2023,5,May,18,19,Afternoon,Gir indegut o sense precaució,432554.05,4586337.91,2.191725172,41.423923661,2023-05-18 19:00:00
2023S001157    ,Sant Andreu,Navas,Felip II,Dilluns,2023,2,February,27,7,Morning,Not respecting pedestrian crossing,432046.36,4586051.66,2.185682233,41.421302692,2023-02-27 07:00:00
2023S000818    ,Sant Andreu,Navas,Sant Antoni Maria Claret,Friday,2023,2,February,10,14,Afternoon,Not respecting pedestrian crossing,432147.88,4585942.07,2.186909296,41.420324234,2023-02-10 14:00:00
2023S005053    ,Sant Andreu,el Congrés i els Indians,Felip II,Thursday,2023,8,August,24,17,Afternoon,Not respecting distances,431520.57,4586544.67,2.17933492,41.4256984,2023-08-24 17:00:00
2023S003531    ,Sant Andreu,el Bon Pastor,Sas,Dimecres,2023,6,June,14,5,Night,Manca precaució efectuar marxa enrera,433606.11,4587959.34,2.204136178,41.438615092,2023-06-14 05:00:00
2023S002555    ,Sant Andreu,el Bon Pastor,Sant Adrià,Saturday,2023,4,April,29,21,Afternoon,No determinada,433778.71,4587716.11,2.206228692,41.436438654,2023-04-29 21:00:00
2023S007637    ,Sant Andreu,el Bon Pastor,Mare de Déu de Montserrat,Saturday,2023,12,December,23,11,Morning,Altres,433740.89,4587076.13,2.205846244,41.43067142,2023-12-23 11:00:00
2023S004740    ,Sant Andreu,el Bon Pastor,Fra Juníper Serra,Friday,2023,8,August,4,20,Afternoon,Avançament defectuós/improcedent,433725.6,4587278.04,2.205641109,41.432488703,2023-08-04 20:00:00
2023S000973    ,Sant Andreu,el Bon Pastor,Santander,Thursday,2023,2,February,16,22,Night,Canvi de carril sense precaució,433946.34,4587517.73,2.208256679,41.434665717,2023-02-16 22:00:00
