Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Day_Type,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model,Vehicle_Brand,Vehicle_Color,License_Description,License_Age,Coordenada_UTM_X,Coordenada_UTM_Y,Latitud,Longitud
2020S000586    ,Sant Martí,el Clot,Clot,Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Car,C3,CITROEN,Unknown,B,29,432493.41,4585359.59,41.415107134,2.19110879
2020S000587    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sant Antoni Maria Claret,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Motorcycle,ARRECIFE,APRILIA,Unknown,A,51,430192.08,4584084.77,41.403428552,2.16372158
2020S000587    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sant Antoni Maria Claret,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Taxi,5008 ACTIVE 2.0 BLUEHD,PEUGEOT,Black/Yellow,B,13,430192.08,4584084.77,41.403428552,2.16372158
2020S000588    ,Ciutat Vella,la Barceloneta,Litoral (Llobregat),Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Motorcycle,SH125AD,HONDA,White,B,7,432018.39,4581701.28,41.382117708,2.18583637
2020S000588    ,Ciutat Vella,la Barceloneta,Litoral (Llobregat),Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,432018.39,4581701.28,41.382117708,2.18583637
2020S000589    ,Sant Martí,el Parc i la Llacuna del Poblenou,Almogàvers,Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Motorcycle,LIBERTY 125 RST,PIAGGIO,Unknown,B,6,432236.65,4583232.89,41.39593094,2.18827501
2020S000589    ,Sant Martí,el Parc i la Llacuna del Poblenou,Almogàvers,Saturday,Working Day,2020,1,January,25,19,Afternoon,Not the pedestrian’s fault,Car,ROOMSTER,SKODA,Gray,B,22,432236.65,4583232.89,41.39593094,2.18827501
2020S000590    ,Eixample,la Sagrada Família,Diagonal,Saturday,Working Day,2020,1,January,25,20,Afternoon,Not the pedestrian’s fault,Car,KUGA,FORD,White,B,36,431707.37,4583953.98,41.402380786,2.18186287
2020S000590    ,Eixample,la Sagrada Família,Diagonal,Saturday,Working Day,2020,1,January,25,20,Afternoon,Not the pedestrian’s fault,Motorcycle,Beverly,PIAGGIO,Black,B,38,431707.37,4583953.98,41.402380786,2.18186287
2020S000591    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Saturday,Working Day,2020,1,January,25,21,Afternoon,Not the pedestrian’s fault,Motorcycle,S02,SILENCE,Red,B,29,432109.89,4584873.69,41.410698454,2.18657469
2020S000591    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Saturday,Working Day,2020,1,January,25,21,Afternoon,Not the pedestrian’s fault,Car,KADJAR,RENAULT,Red,B,40,432109.89,4584873.69,41.410698454,2.18657469
2020S000592    ,Les Corts,les Corts,Vell de Sarrià,Saturday,Working Day,2020,1,January,25,22,Night,Not the pedestrian’s fault,Motorcycle,R 1250 GS ADVENTURE,BMW,White,A,9,428403.46,4582368.23,41.387810943,2.14252858
2020S000592    ,Les Corts,les Corts,Vell de Sarrià,Saturday,Working Day,2020,1,January,25,22,Night,Not the pedestrian’s fault,Car,CORSA-E,OPEL,White,Unknown,Unknown,428403.46,4582368.23,41.387810943,2.14252858
2020S000592    ,Les Corts,les Corts,Vell de Sarrià,Saturday,Working Day,2020,1,January,25,22,Night,Not the pedestrian’s fault,Bicycle,Unknown,BTWIN,Black,Unknown,Unknown,428403.46,4582368.23,41.387810943,2.14252858
2020S000593    ,Horta-Guinardó,el Baix Guinardó,Sant Antoni Maria Claret,Sunday,Working Day,2020,1,January,26,1,Night,Not the pedestrian’s fault,Car,LODGY,DACIA,Black/Yellow,B,4,430854.57,4584726.11,41.409262176,2.17157323
2020S000593    ,Horta-Guinardó,el Baix Guinardó,Sant Antoni Maria Claret,Sunday,Working Day,2020,1,January,26,1,Night,Not the pedestrian’s fault,Moped,NOVA,EMCO,Green,B,6,430854.57,4584726.11,41.409262176,2.17157323
2020S000594    ,Les Corts,les Corts,Diagonal,Sunday,Working Day,2020,1,January,26,4,Night,Not the pedestrian’s fault,Car,LOGAN,DACIA,Maroon,B,27,427557.22,4582526.09,41.389156919,2.13238915
2020S000594    ,Les Corts,les Corts,Diagonal,Sunday,Working Day,2020,1,January,26,4,Night,Not the pedestrian’s fault,Car,OPTIMA,KIA,Gray,B,15,427557.22,4582526.09,41.389156919,2.13238915
2020S000595    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Sunday,Working Day,2020,1,January,26,6,Morning,Not the pedestrian’s fault,Van,INCA 1.9 SDI,SEAT,White,B,24,431680.73,4581498.83,41.380265676,2.18182129
2020S000595    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Sunday,Working Day,2020,1,January,26,6,Morning,Not the pedestrian’s fault,Car,IBIZA,SEAT,Blue,B,8,431680.73,4581498.83,41.380265676,2.18182129
2020S000596    ,Eixample,la Dreta de l'Eixample,Roger de Llúria,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Bicycle, ,BICING,Unknown,Unknown,Unknown,430377.59,4583159.64,41.395112307,2.16604717
2020S000596    ,Eixample,la Dreta de l'Eixample,Roger de Llúria,Saturday,Working Day,2020,1,January,25,17,Afternoon,Not the pedestrian’s fault,Car,CADDY,VOLKSWAGEN,Unknown,B,45,430377.59,4583159.64,41.395112307,2.16604717
