Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Date,Day_Type_Description,Year,Month_of_Year,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type_Description,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2020S004503    ,Sants-Montjuďc,Sants,Brasil,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,09:00:00,Unknown,Furgoneta,Male,40,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,427362.69,4581195.28,2.13022226,41.377153277
2020S004504    ,Les Corts,la Maternitat i Sant Ramon,Diagonal,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,08:00:00,Unknown,Car,Male,27,Driver,Unknown,Unknown,In transit (commuting),Uninjured,425497.61,4581866.91,2.10783813,41.383031749
2020S004504    ,Les Corts,la Maternitat i Sant Ramon,Diagonal,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,08:00:00,Unknown,Ciclomotor,Female,54,Driver,Unknown,Unknown,Unknown,Minor injury: Medical assistance at accident site,425497.61,4581866.91,2.10783813,41.383031749
2020S004505    ,Sant Martí,el Besňs i el Maresme,Francesc de Borja Moll,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,10:00:00,Unknown,"Camió rígid <= 3,5 tones",Male,44,Driver,Unknown,Unknown,Professional goods transport,Uninjured,434824.81,4585102.61,2.2190309,41.412985153
2020S004506    ,Sants-Montjuďc,la Marina de Port,Corts Catalanes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,11:00:00,Unknown,Autobús,Female,53,Passenger,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428042.6,4580028.1,2.13849087,41.366702015
2020S004506    ,Sants-Montjuďc,la Marina de Port,Corts Catalanes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,11:00:00,Unknown,Autobús,Female,72,Passenger,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428042.6,4580028.1,2.13849087,41.366702015
2020S004506    ,Sants-Montjuďc,la Marina de Port,Corts Catalanes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,11:00:00,Unknown,Autobús,Female,50,Driver,Unknown,Unknown,Unknown,Uninjured,428042.6,4580028.1,2.13849087,41.366702015
2020S004507    ,Sant Andreu,Sant Andreu,Pare Manyanet,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,12:00:00,Unknown,Car,Female,37,Driver,In an unregulated crossing,Unknown,Unknown,Uninjured,432596.77,4586785.63,2.19218642,41.427959723
2020S004507    ,Sant Andreu,Sant Andreu,Pare Manyanet,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,12:00:00,Unknown,Car,Male,40,Pedestrian,In an unregulated crossing,Unknown,Unknown,Minor injury: Medical assistance at accident site,432596.77,4586785.63,2.19218642,41.427959723
2020S004508    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,13:00:00,Unknown,Motorcycle,Female,37,Driver,Unknown,Unknown,In transit (commuting),Minor injury: Hospitalization up to 24 hours,429862.12,4582405.47,2.15996909,41.388274931
2020S004508    ,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,13:00:00,Unknown,Car,Male,68,Driver,Unknown,Unknown,Unknown,Uninjured,429862.12,4582405.47,2.15996909,41.388274931
2020S004509    ,Sarriŕ-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Vallvidrera a les Planes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Morning,09:00:00,Unknown,Car,Female,40,Driver,Unknown,Unknown,Unknown,Minor injury: Medical assistance at accident site,424683.79,4585883.92,2.0976061,41.419135157
2020S004510    ,Sarriŕ-Sant Gervasi,Sant Gervasi - Galvany,Mig (Ascendent),Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,14:00:00,Unknown,Motorcycle,Male,26,Driver,Unknown,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,427677.2,4583309.49,2.13373047,41.396223497
2020S004510    ,Sarriŕ-Sant Gervasi,Sant Gervasi - Galvany,Mig (Ascendent),Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,14:00:00,Unknown,Car,Female,52,Driver,Unknown,Unknown,In transit (commuting),Uninjured,427677.2,4583309.49,2.13373047,41.396223497
2020S004511    ,Les Corts,les Corts,Mig (Descendent),Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,15:00:00,Unknown,Car,Male,51,Driver,Unknown,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,427347.13,4582899.16,2.12983177,41.392498052
2020S004511    ,Les Corts,les Corts,Mig (Descendent),Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,15:00:00,Unknown,Car,Female,61,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,427347.13,4582899.16,2.12983177,41.392498052
2020S004512    ,Sants-Montjuďc,la Bordeta,Corts Catalanes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,15:00:00,Unknown,Car,Male,43,Driver,Unknown,Unknown,Other activities,Uninjured,428225.71,4580279.72,2.14065026,41.368984627
2020S004512    ,Sants-Montjuďc,la Bordeta,Corts Catalanes,Wednesday,2020-09-30,Laboral,2020,9,September,30,Afternoon,15:00:00,Unknown,Motorcycle,Female,31,Driver,Unknown,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,428225.71,4580279.72,2.14065026,41.368984627
