Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Driver_Cause_Description,Shift_Description,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud,datetime
2020S000536    ,Sant Martí,el Parc i la Llacuna del Poblenou,Almogàvers,Thursday,2020,1,January,23,11,Disobeying traffic lights,Morning,432513.26,4583483.8,2.19265839658817,41.4000626144044,2020-01-23 11:00:00
2020S005949    ,Sant Martí,el Parc i la Llacuna del Poblenou,C-31,Sunday,2020,12,December,13,11,Not respecting pedestrian crossings,Morning,432311.78,4584204.78,2.19016770622098,41.406539332101,2020-12-13 11:00:00
2020S001985    ,Sant Martí,el Parc i la Llacuna del Poblenou,C-31,Tuesday,2020,3,March,31,14,Changing lanes without caution,Afternoon,432509.94,4584438.01,2.192512286791,41.4086566267806,2020-03-31 14:00:00
2020S001380    ,Ciutat Vella,el Raval,Rambla,Sunday,2020,2,February,23,14,Lack of precaution when reversing,Afternoon,430969.35,4581599.9,2.17440518728959,41.3829638477582,2020-02-23 14:00:00
2020S001180    ,Ciutat Vella,el Raval,Sant Antoni,Sunday,2020,2,February,16,14,Unknown,Afternoon,429999.72,4581436.12,2.16282867700614,41.3814049535401,2020-02-16 14:00:00
2020S002426    ,Ciutat Vella,el Raval,Sant Antoni,Friday,2020,6,June,5,2,Lack of attention while driving,Night,430133.13,4581521.64,2.16441417639558,41.3821868008199,2020-06-05 02:00:00
2020S001434    ,Sant Martí,la Vila Olímpica del Poblenou,Litoral,Tuesday,2020,2,February,25,17,Disobeying other signals,Afternoon,432888.89,4582323.45,2.19728021471966,41.3896430916247,2020-02-25 17:00:00
2020S003523    ,Ciutat Vella,el Raval,Portal de la Pau,Saturday,2020,8,August,1,17,Lack of attention while driving,Afternoon,431303.96,4580950.67,2.17848026395638,41.3771450591742,2020-08-01 17:00:00
2020S002160    ,Sant Martí,la Vila Olímpica del Poblenou,Litoral (Llobregat),Tuesday,2020,5,May,12,8,Others,Morning,433204.48,4582713.13,2.20101167659214,41.3931791106419,2020-05-12 08:00:00
2020S002913    ,Ciutat Vella,el Raval,Portal de Santa Madrona,Thursday,2020,7,July,2,16,Not respecting pedestrian crossings,Afternoon,431221.88,4581177.04,2.17747309710959,41.3791768980813,2020-07-02 16:00:00
2020S004407    ,Sant Martí,la Vila Olímpica del Poblenou,Doctor Trueta,Friday,2020,9,September,25,23,Improper/defective overtaking,Night,432534.11,4582582.42,2.19300822822435,41.3919458848934,2020-09-25 23:00:00
2020S000964    ,Sant Martí,la Vila Olímpica del Poblenou,B-10 (Llobregat),Saturday,2020,2,February,8,10,Others,Morning,432731.79,4582228.94,2.1954118057094,41.3887787416108,2020-02-08 10:00:00
2020S001865    ,Sant Martí,la Vila Olímpica del Poblenou,Doctor Trueta,Wednesday,2020,3,March,11,21,Disobeying other signals,Afternoon,433073.95,4583092.36,2.19940854972447,41.3965838843448,2020-03-11 21:00:00
2020S004303    ,Ciutat Vella,el Barri Gòtic,Ferran,Sunday,2020,9,September,20,13,Others,Morning,431182.68,4581657.53,2.17694977953235,41.3835011802261,2020-09-20 13:00:00
2020S001530    ,Ciutat Vella,el Barri Gòtic,Laietana,Friday,2020,2,February,28,19,Not respecting distances,Afternoon,431586.95,4581732.67,2.18177586129224,41.384212424194,2020-02-28 19:00:00
2020S002363    ,Sant Martí,la Vila Olímpica del Poblenou,Icària,Saturday,2020,5,May,30,6,Disobeying traffic lights,Morning,432837.45,4582565.19,2.19663819066428,41.3918160870246,2020-05-30 06:00:00
2020S004315    ,Ciutat Vella,el Barri Gòtic,Josep Anselm Clavé,Monday,2020,9,September,21,9,Lack of attention while driving,Morning,431318.34,4581116.15,2.17863346194898,41.3786367184505,2020-09-21 09:00:00
2020S001512    ,Ciutat Vella,el Barri Gòtic,Josep Anselm Clavé,Thursday,2020,2,February,27,21,Not determined,Afternoon,431318.34,4581116.15,2.17863346194898,41.3786367184505,2020-02-27 21:00:00
2020S002068    ,Sant Martí,la Vila Olímpica del Poblenou,Icària,Friday,2020,4,April,24,12,Disobeying traffic lights,Morning,433029.72,4582773.38,2.19891478218134,41.3937072331563,2020-04-24 12:00:00
2020S001336    ,Ciutat Vella,el Barri Gòtic,Colom,Friday,2020,2,February,21,16,Unknown,Afternoon,431694.26,4581581.69,2.18307619015704,41.3828617079969,2020-02-21 16:00:00
2020S003699    ,Ciutat Vella,el Barri Gòtic,Colom,Sunday,2020,8,August,16,11,Lack of attention while driving,Morning,431490.89,4581299.46,2.18067606914597,41.3803024500866,2020-08-16 11:00:00
2020S000668    ,Ciutat Vella,el Raval,Joaquín Costa,Tuesday,2020,1,January,28,17,Lack of precaution when reversing,Afternoon,430781.78,4582002.54,2.17211610714991,41.3865741868149,2020-01-28 17:00:00
2020S004419    ,Ciutat Vella,el Raval,Hospital,Saturday,2020,9,September,26,22,Others,Night,430840.06,4581569.55,2.17286251941778,41.3826793906858,2020-09-26 22:00:00
2020S004103    ,Ciutat Vella,el Raval,Sant Antoni,Thursday,2020,9,September,10,9,Lack of attention while driving,Morning,430148.16,4581795.48,2.16456234331015,41.3846544945482,2020-09-10 09:00:00
2020S002908    ,Ciutat Vella,el Barri Gòtic,Laietana,Thursday,2020,7,July,2,18,Not respecting distances,Afternoon,431289.75,4582035.61,2.17818732516189,41.3869155872155,2020-07-02 18:00:00
2020S004042    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Sunday,2020,9,September,6,23,Lack of attention while driving,Night,431465.38,4581159.78,2.18038681223156,41.3790422189864,2020-09-06 23:00:00
2020S005054    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Tuesday,2020,10,October,27,9,Lack of attention while driving,Morning,431394.3,4580979.91,2.17955720268151,41.3774161229068,2020-10-27 09:00:00
2020S005420    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Tuesday,2020,11,November,17,20,Not determined,Afternoon,431507.05,4581243.74,2.18087561066602,41.3798019714387,2020-11-17 20:00:00
2020S002883    ,Ciutat Vella,el Raval,Ramelleres,Wednesday,2020,7,July,1,20,Disobeying other signals,Afternoon,430638.78,4581899.91,2.17041767867781,41.3856375131666,2020-07-01 20:00:00
2020S001226    ,Ciutat Vella,el Barri Gòtic,Antoni Maura,Tuesday,2020,2,February,18,9,Changing lanes without caution,Morning,431279.45,4582061.37,2.17806122150912,41.3871467200312,2020-02-18 09:00:00
2020S003980    ,Ciutat Vella,el Barri Gòtic,Portal de la Pau,Thursday,2020,9,September,3,14,Not respecting distances,Afternoon,431303.96,4580950.67,2.17848026395638,41.3771450591742,2020-09-03 14:00:00
